,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Cape Town,75,ZA,1563589869,81,-33.93,18.42,50.0,11.41
1,Luderitz,0,NA,1563590122,77,-26.65,15.16,56.23,25.93
2,Saint-Philippe,1,CA,1563590122,74,45.36,-73.48,82.4,17.22
3,Padang,72,ID,1563590033,79,-0.92,100.36,79.99,6.53
4,Khilok,100,RU,1563590123,64,51.36,110.46,68.47,6.2
5,Tautira,20,PF,1563590123,57,-17.73,-149.15,80.6,6.93
6,Jhargram,1,IN,1563590123,65,22.45,86.99,87.01,5.97
7,Punta Arenas,0,CL,1563590124,86,-53.16,-70.91,33.8,10.29
8,Barrow,99,AR,1563590124,47,-38.31,-60.23,51.01,14.16
9,Dikson,89,RU,1563589982,80,73.51,80.55,41.11,19.89
10,Hermanus,2,ZA,1563590125,79,-34.42,19.24,46.0,4.0
11,Garowe,35,SO,1563590125,57,8.41,48.48,75.13,27.94
12,Hithadhoo,100,MV,1563590126,77,-0.6,73.08,82.69,16.67
13,Rikitea,47,PF,1563590126,56,-23.12,-134.97,66.13,10.94
14,Hilo,75,US,1563590126,65,19.71,-155.08,82.4,11.41
15,Avarua,29,CK,1563590127,78,-21.21,-159.78,75.2,5.82
16,Emba,0,CY,1563590127,83,34.81,32.42,73.4,5.82
17,Yinchuan,0,CN,1563590127,26,38.48,106.21,84.67,5.06
18,Khatanga,60,RU,1563590128,35,71.98,102.47,76.03,10.58
19,Bahia Blanca,100,AR,1563590128,38,-38.72,-62.27,52.45,13.33
20,Miles City,75,US,1563590128,46,46.41,-105.84,73.4,5.82
21,Ulaanbaatar,0,MN,1563590096,63,47.92,106.92,66.2,4.47
22,Bubaque,72,GW,1563590129,80,11.28,-15.83,78.37,12.97
23,Sola,8,TZ,1563590130,57,-3.17,33.8,64.15,5.39
24,Bredasdorp,54,ZA,1563590130,81,-34.53,20.04,48.2,4.7
25,Ahipara,16,NZ,1563590131,76,-35.17,173.16,57.67,16.49
26,Atuona,76,PF,1563590131,63,-9.8,-139.03,80.71,5.5
27,Naze,98,NG,1563590131,98,5.43,7.07,71.71,3.49
28,Port Blair,40,IN,1563590132,94,11.67,92.75,78.8,2.24
29,Caravelas,0,BR,1563590132,72,-17.73,-39.27,70.99,11.77
30,Urdoma,100,RU,1563590133,75,61.74,48.55,58.75,3.76
31,Ossora,94,RU,1563590134,82,59.24,163.07,65.41,5.75
32,Arraial do Cabo,80,BR,1563590134,76,-22.97,-42.02,66.49,21.74
33,Puerto Ayora,62,EC,1563590134,92,-0.74,-90.35,69.01,3.0
34,Ribeira Grande,0,PT,1563590135,90,38.52,-28.7,72.61,14.27
35,Mataura,100,NZ,1563590135,97,-46.19,168.86,48.99,8.99
36,Haines Junction,49,CA,1563590136,59,60.75,-137.51,61.81,9.55
37,Lasa,0,CY,1563590136,83,34.92,32.53,73.4,5.82
38,Ugoofaaru,100,MV,1563590136,77,5.67,73.0,83.59,20.78
39,Thompson,75,CA,1563590137,67,55.74,-97.86,59.0,11.41
40,Hobart,75,AU,1563590137,54,-42.88,147.33,55.0,5.82
41,Busselton,48,AU,1563590138,98,-33.64,115.35,57.0,23.49
42,Sao Filipe,100,CV,1563590138,83,14.9,-24.5,74.41,17.49
43,De Aar,17,ZA,1563590139,81,-30.65,24.01,38.59,9.28
44,Severo-Kurilsk,100,RU,1563590139,93,50.68,156.12,47.77,6.35
45,Vao,0,EE,1563590140,91,59.1,26.19,57.67,6.26
46,Yellowknife,20,CA,1563590137,48,62.45,-114.38,66.2,5.82
47,Ushuaia,40,AR,1563590141,64,-54.81,-68.31,37.4,9.17
48,Tahe,100,CN,1563590141,99,52.34,124.71,65.77,3.51
49,Cherskiy,100,RU,1563589985,62,68.75,161.3,43.27,10.22
50,Praia,75,BR,1563590142,59,-20.25,-43.81,62.6,2.93
51,Svetlogorsk,40,RU,1563590142,77,53.14,59.15,68.0,4.47
52,Mount Gambier,0,AU,1563590143,51,-37.83,140.78,60.8,16.11
53,Baft,0,IR,1563590143,25,29.23,56.61,68.83,5.3
54,Victoria,75,BN,1563590143,70,5.28,115.24,89.6,3.36
55,Maxixe,0,MZ,1563590144,58,-23.86,35.35,64.51,13.49
56,Panjab,0,AF,1563590144,22,34.38,67.02,58.21,5.44
57,Ballina,68,IE,1563590145,93,54.11,-9.15,57.0,16.11
58,Honiara,40,SB,1563590145,66,-9.43,159.96,89.6,16.11
59,Vilyuysk,0,RU,1563590146,32,63.75,121.63,64.87,7.05
60,Jamestown,0,AU,1563590146,38,-33.21,138.6,62.89,20.76
61,Amga,0,RU,1563590146,35,60.89,131.98,60.01,6.73
62,Bluff,0,AU,1563590147,41,-23.58,149.07,69.37,13.2
63,Manggar,35,ID,1563590147,60,-2.88,108.27,88.09,9.06
64,Hasaki,75,JP,1563590147,78,35.73,140.83,86.0,5.82
65,El Alto,75,BO,1563590148,86,-16.5,-68.19,37.4,6.93
66,Fare,2,PF,1563590148,78,-16.7,-151.02,75.31,18.32
67,Talnakh,0,RU,1563590149,40,69.49,88.39,71.6,15.66
68,Tuktoyaktuk,90,CA,1563590149,87,69.44,-133.03,48.2,5.82
69,Mozarlandia,8,BR,1563590149,46,-14.74,-50.57,71.71,4.36
70,Shingu,75,JP,1563590150,79,33.72,135.99,84.2,9.17
71,Port Alfred,76,ZA,1563590150,95,-33.59,26.89,46.99,11.99
72,Tasiilaq,90,GL,1563590150,93,65.61,-37.64,42.8,6.93
73,Qaanaaq,100,GL,1563590151,89,77.48,-69.36,40.21,10.2
74,Ponta do Sol,0,BR,1563590151,73,-20.63,-46.0,52.81,6.69
75,Kangaatsiaq,57,GL,1563590151,90,68.31,-53.46,44.35,5.7
76,Kapaa,90,US,1563589874,70,22.08,-159.32,84.2,18.34
77,San Patricio,2,PY,1563590152,94,-26.98,-56.83,60.55,7.76
78,Carnarvon,16,ZA,1563590153,80,-30.97,22.13,34.99,8.68
79,Butaritari,91,KI,1563590153,64,3.07,172.79,85.75,7.81
80,Bahir Dar,46,ET,1563590154,93,11.59,37.39,56.23,2.53
81,Cayenne,0,GF,1563590154,100,4.94,-52.33,73.4,2.84
82,Onalaska,40,US,1563589921,70,43.88,-91.23,89.6,8.05
83,Nikolskoye,75,RU,1563590155,93,59.7,30.79,61.0,6.71
84,Port Elizabeth,1,US,1563590155,88,39.31,-74.98,87.01,5.12
85,Saint-Augustin,20,CA,1563590155,88,45.63,-73.98,82.4,6.93
86,Victoria,75,BN,1563590042,70,5.28,115.24,89.6,3.36
87,Husavik,0,CA,1563590156,50,50.56,-96.99,68.0,8.95
88,Didwana,11,IN,1563590156,48,27.4,74.58,91.87,9.53
89,Witney,75,GB,1563590000,93,51.78,-1.49,63.0,4.7
90,Povenets,97,RU,1563590157,73,62.85,34.83,54.07,9.04
91,Aswan,0,EG,1563590157,24,24.09,32.9,91.4,9.17
92,Saint-Joseph,75,FR,1563590158,82,43.56,6.97,73.4,3.36
93,Arlit,33,NE,1563590158,28,18.74,7.39,89.17,10.6
94,Sompeta,38,IN,1563590158,73,18.93,84.6,83.77,4.14
95,Krk,0,HR,1563590159,77,45.03,14.57,70.0,3.76
96,Vaini,75,IN,1563590149,94,15.34,74.49,71.6,3.36
97,Nsunga,86,TZ,1563590159,58,-1.13,31.39,67.39,2.33
98,Coquimbo,0,CL,1563590160,87,-29.95,-71.34,51.8,1.12
99,Bethel,90,US,1563590160,87,60.79,-161.76,60.8,17.22
100,Virginia Beach,40,US,1563589986,88,36.85,-75.98,88.0,10.78
101,Hofn,100,IS,1563590161,96,64.25,-15.21,39.31,13.56
102,Bilma,58,NE,1563590162,37,18.69,12.92,90.61,11.92
103,Souillac,0,FR,1563590162,82,45.6,-0.6,66.99,2.24
104,New Norfolk,75,AU,1563590162,54,-42.78,147.06,55.0,5.82
105,Maragogi,71,BR,1563590163,96,-9.01,-35.22,69.37,4.61
106,Erzin,40,TR,1563590163,24,36.95,36.2,79.0,19.46
107,Bundaberg,40,AU,1563590164,40,-24.87,152.35,75.99,16.11
108,Canakkale,0,TR,1563590164,88,40.15,26.41,68.0,4.7
109,Bonito,86,BR,1563590164,94,-1.36,-47.3,71.53,4.12
110,Castro,40,CL,1563590165,80,-42.48,-73.76,41.0,12.75
111,Dunedin,100,NZ,1563589917,97,-45.87,170.5,48.99,17.16
112,Nanortalik,99,GL,1563590166,98,60.14,-45.24,43.99,3.87
113,Ancud,40,CL,1563590166,80,-41.87,-73.83,41.0,12.75
114,Esperance,75,AU,1563590166,87,-33.86,121.89,51.8,23.04
115,Dingle,85,PH,1563590167,66,11.0,122.67,86.47,5.48
116,Kavieng,32,PG,1563590167,74,-2.57,150.8,83.95,11.56
117,Puerto Escondido,79,MX,1563590167,82,15.86,-97.07,79.09,3.65
118,Qasigiannguit,75,GL,1563590168,81,68.82,-51.19,48.2,6.98
119,Ambanja,0,MG,1563590168,75,-13.68,48.45,74.23,6.73
120,Saint-Georges,0,CA,1563590169,84,46.12,-70.67,75.99,1.99
121,Hof,93,DE,1563590169,88,50.32,11.92,60.01,4.38
122,Cabo San Lucas,40,MX,1563590037,40,22.89,-109.91,87.8,11.41
123,Nelson,41,CA,1563590117,61,49.49,-117.29,53.35,3.78
124,Maldonado,0,UY,1563590170,93,-34.91,-54.96,51.8,5.82
125,Zonguldak,0,TR,1563590170,70,41.25,31.83,73.15,11.56
126,Lata,16,IN,1563590171,67,30.78,78.62,49.21,4.18
127,Senno,65,RU,1563590171,82,57.76,27.95,60.8,8.95
128,Lagoa,0,PT,1563590172,47,37.14,-8.45,78.8,4.7
129,Beringovskiy,100,RU,1563590172,71,63.05,179.32,59.83,4.12
130,Keti Bandar,3,PK,1563590173,80,24.14,67.45,81.79,9.08
131,Yarada,75,IN,1563590173,88,17.65,83.27,82.4,2.24
132,Pandan,100,PH,1563590173,71,11.72,122.09,85.75,11.03
133,Sao Joao da Barra,3,BR,1563590174,92,-21.64,-41.05,58.21,0.07
134,Shakawe,0,BW,1563590174,30,-18.36,21.84,49.75,2.33
135,Tres Arroyos,99,AR,1563590175,47,-38.38,-60.28,51.01,14.16
136,Ilulissat,75,GL,1563590175,81,69.22,-51.1,48.2,3.36
137,Mar del Plata,0,AR,1563590175,61,-46.43,-67.52,36.43,23.73
138,Aksu,90,KZ,1563590176,88,52.04,76.93,68.0,11.18
139,Sept-Iles,90,CA,1563590113,87,50.2,-66.38,59.0,5.82
140,Salalah,90,OM,1563590177,94,17.01,54.1,78.8,4.7
141,Kalawit,28,PH,1563590177,74,7.91,122.53,85.03,1.9
142,Leningradskiy,100,RU,1563590177,92,69.38,178.42,36.07,10.22
143,Teahupoo,20,PF,1563590178,57,-17.83,-149.27,80.6,6.93
144,Rosa Zarate,5,EC,1563590178,97,0.33,-79.47,70.45,2.66
145,Pierre,20,US,1563590178,74,44.37,-100.35,78.8,6.93
146,Meulaboh,100,ID,1563590147,81,4.14,96.13,79.99,7.99
147,Albany,1,US,1563590179,74,42.65,-73.75,84.0,9.17
148,Kirakira,53,SB,1563590180,81,-10.46,161.92,80.89,16.44
149,Opuwo,0,NA,1563590180,25,-18.06,13.84,53.53,6.38
150,Niquelandia,0,BR,1563590181,46,-14.47,-48.46,65.05,8.41
151,Pisco,90,PE,1563590181,87,-13.71,-76.2,59.0,12.75
152,Neyshabur,0,IR,1563590181,16,36.21,58.79,83.05,16.06
153,Bambous Virieux,20,MU,1563590182,77,-20.34,57.76,70.0,9.17
154,Ngunguru,100,NZ,1563590182,66,-35.62,174.5,62.01,5.99
155,Cumberland,1,US,1563590182,83,41.97,-71.43,82.0,5.82
156,Buala,37,SB,1563590183,73,-8.15,159.59,82.69,10.31
157,Manakara,0,MG,1563590183,95,-22.14,48.01,61.09,4.05
158,Klaksvik,77,FO,1563590183,100,62.23,-6.59,50.0,8.05
159,Arman,100,RU,1563590184,98,59.7,150.17,51.01,3.71
160,Rio Gallegos,40,AR,1563590184,80,-51.62,-69.22,33.8,14.99
161,Simao,100,CN,1563590185,91,22.76,100.79,75.49,2.66
162,East London,55,ZA,1563590185,63,-33.02,27.91,48.85,23.24
163,Margate,75,AU,1563590185,54,-43.03,147.26,55.0,5.82
164,Vila Velha,75,BR,1563590186,78,-3.71,-38.6,80.6,18.34
165,Mlowo,0,TZ,1563590186,86,-9.01,33.0,51.55,2.66
166,Camacha,75,PT,1563590186,83,33.08,-16.33,71.6,13.87
167,Quelimane,0,MZ,1563590187,93,-17.88,36.89,64.4,3.36
168,Dodoma,0,TZ,1563590187,92,-6.18,35.75,55.69,3.91
169,Tiksi,34,RU,1563590187,38,71.64,128.87,59.83,16.15
170,Jinchang,24,CN,1563590188,22,38.52,102.19,77.47,5.7
171,Kasongo,0,CD,1563590188,45,-4.43,26.67,71.17,2.19
172,Butka,75,RU,1563590189,93,56.72,63.78,70.45,6.11
173,Acapulco,90,MX,1563590189,70,16.86,-99.88,84.2,3.15
174,Avera,1,US,1563590189,94,33.19,-82.53,82.4,8.05
175,Nome,1,US,1563590190,88,30.04,-94.42,84.99,3.36
176,Olavarria,0,AR,1563590190,86,-36.89,-60.32,48.99,1.01
177,Sambava,0,MG,1563590190,85,-14.27,50.17,63.25,3.83
178,Show Low,20,US,1563590191,21,34.25,-110.03,87.8,12.75
179,Mutsu,75,JP,1563590191,83,41.29,141.2,77.0,8.05
180,Jalu,0,LY,1563590192,45,29.03,21.55,74.05,10.71
181,Finnsnes,3,NO,1563590192,93,69.23,17.98,53.6,10.29
182,Bandarbeyla,83,SO,1563590192,52,9.49,50.81,78.55,28.23
183,Klobuck,0,PL,1563590193,87,50.9,18.94,62.01,5.82
184,Sitka,0,US,1563590193,46,37.17,-99.65,90.0,10.0
185,Mehamn,0,NO,1563590193,81,71.03,27.85,53.53,7.67
186,Nizhniye Sergi,100,RU,1563590194,95,56.66,59.3,66.85,7.74
187,Harbour Breton,100,CA,1563590194,86,47.48,-55.8,56.05,15.14
188,Aguimes,40,ES,1563590195,73,27.91,-15.45,71.6,23.04
189,Pangnirtung,100,CA,1563590195,85,66.15,-65.72,51.55,0.27
190,Mahebourg,20,MU,1563590195,77,-20.41,57.7,70.0,9.17
191,Balsta,0,SE,1563590196,93,59.57,17.53,57.0,2.24
192,Kaitangata,100,NZ,1563590196,89,-46.28,169.85,50.0,8.01
193,Rodez,0,FR,1563590197,55,44.35,2.57,68.0,9.17
194,Jacareacanga,8,BR,1563590197,66,-6.22,-57.76,76.39,1.05
195,Hamilton,75,CA,1563590022,100,43.26,-79.87,82.99,5.82
196,Cap Malheureux,20,MU,1563590198,77,-19.98,57.61,70.0,9.17
197,Katsuura,75,JP,1563590198,94,33.93,134.5,80.01,19.46
198,Yulara,0,AU,1563590199,16,-25.24,130.99,69.8,13.87
199,Inhambane,0,MZ,1563590199,58,-23.87,35.38,64.51,13.49
200,Saint George,0,GR,1563590199,82,39.45,22.34,73.0,1.3
201,Bria,100,CF,1563590200,97,6.54,21.99,67.57,2.3
202,Brookhaven,1,US,1563590200,83,40.78,-72.92,82.0,5.82
203,Clyde River,1,CA,1563590201,93,70.47,-68.59,44.6,3.36
204,Almaznyy,0,RU,1563590201,82,48.03,40.04,55.4,8.95
205,Namibe,0,AO,1563590201,85,-15.19,12.15,68.11,1.34
206,Kruisfontein,91,ZA,1563590202,77,-34.0,24.73,47.23,22.44
